symbol,signal_type,direction,entry_price,exit_price,sl,target,pnl,pnl_pct,exit_type,entry_time,exit_time,hold_bars,zone_quality,reason
SOLUSDT,GHST_BE,SHORT,140.28,138.29,145.04107142857143,138.29,1180.06,1.42,TARGET,2026-01-12 00:30:00,2026-01-13 02:40:00,314,4,GHST_BE: Supply zone retest [141-145] Q=2 RSI=65
SOLUSDT,GHST_BE,SHORT,141.6,144.93928571428572,144.93928571428572,138.29,-2997.4,-2.36,SL,2026-01-13 08:55:00,2026-01-13 22:05:00,158,4,GHST_BE: Supply zone retest [141-145] Q=2 RSI=81
SOLUSDT,GHST_BE,SHORT,146.72,145.50857142857146,147.32571428571427,145.50857142857146,875.78,0.83,TARGET,2026-01-13 23:15:00,2026-01-13 23:35:00,4,2,GHST_BE: Supply zone retest [141-147] Q=1 RSI=59
SOLUSDT,GHST_BE,SHORT,144.9,147.1482142857143,147.1482142857143,140.40357142857144,-1931.76,-1.55,SL,2026-01-14 00:50:00,2026-01-14 14:45:00,167,2,GHST_BE: Supply zone retest [141-147] Q=1 RSI=51
SOLUSDT,GHST_BE,SHORT,147.8,145.98928571428576,148.70535714285714,145.98928571428576,1352.01,1.23,TARGET,2026-01-14 16:20:00,2026-01-14 17:35:00,15,2,GHST_BE: Supply zone retest [145-148] Q=1 RSI=57
SOLUSDT,GHST_BE,SHORT,145.75,147.20607142857142,147.20607142857142,142.83785714285716,-1326.08,-1.0,SL,2026-01-14 18:35:00,2026-01-14 19:25:00,10,2,GHST_BE: Supply zone retest [141-147] Q=1 RSI=36
SOLUSDT,GHST_BE,SHORT,146.23,141.50714285714284,148.59142857142857,141.50714285714284,3490.89,3.23,TARGET,2026-01-15 00:00:00,2026-01-15 18:40:00,224,2,GHST_BE: Supply zone retest [145-148] Q=1 RSI=53
SOLUSDT,GHST_BE,SHORT,145.31,142.56,148.585,138.76,2176.69,1.89,TIME,2026-01-16 21:30:00,2026-01-18 06:50:00,400,3,GHST_BE: Supply zone retest [145-148] Q=1 RSI=81
SOLUSDT,GHST_BE,SHORT,132.97,132.18,133.41035714285715,132.18,604.09,0.59,TARGET,2026-01-20 05:35:00,2026-01-20 06:15:00,8,2,GHST_BE: Supply zone retest [131-133] Q=2 RSI=37
SOLUSDT,GHST_SE,LONG,131.58,128.5767857142857,128.5767857142857,136.13,-2917.22,-2.28,SL,2026-01-20 07:15:00,2026-01-20 08:45:00,18,4,GHST_SE: Demand zone retest [129-132] Q=3 RSI=36
SOLUSDT,GHST_SE,LONG,128.91,127.80607142857143,127.80607142857143,130.83,-1159.41,-0.86,SL,2026-01-20 09:45:00,2026-01-20 15:05:00,64,1,GHST_SE: Demand zone retest [128-132] Q=1 RSI=55
