date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2022-03-10,SELL_PE,16473.607142857145,16594.9,67.55,101.32,-580.74,-0.336,0.00121,-55.85,34.6,1
2022-03-10,SELL_PE,16473.607142857145,16594.9,67.55,101.32,-580.74,-0.336,0.00121,-55.85,34.6,1
2022-03-17,SELL_PE,17160.312857142857,17287.05,62.26,0.07,1505.82,-0.324,0.00123,-53.38,32.2,1
2022-03-17,SELL_PE,17160.312857142857,17287.05,62.26,0.07,1505.82,-0.324,0.00123,-53.38,32.2,1
2022-03-23,SELL_PE,17104.307142857146,17245.65,102.9,47.97,1323.03,-0.357,0.00089,-40.17,32.8,2
2022-03-24,SELL_CE,17337.051428571427,17222.75,70.54,0.17,1710.16,0.357,0.00127,-56.0,32.7,1
2022-03-24,SELL_CE,17337.051428571427,17222.75,70.54,0.17,1710.16,0.357,0.00127,-56.0,32.7,1
2022-03-30,SELL_PE,17372.535714285714,17498.25,65.18,27.3,898.04,-0.327,0.0012,-28.21,23.3,2
2022-03-30,SELL_PE,17372.535714285714,17498.25,65.18,27.3,898.04,-0.327,0.0012,-28.21,23.3,2
2022-04-04,SELL_PE,17853.4,18053.4,81.11,121.67,-1063.38,-0.301,0.00083,-19.23,22.2,4
2022-04-04,SELL_PE,17853.4,18053.4,81.11,121.67,-1063.38,-0.301,0.00083,-19.23,22.2,4
2022-04-06,SELL_CE,17912.753571428573,17807.65,62.53,26.07,862.44,0.356,0.00143,-25.47,19.8,2
2022-04-06,SELL_CE,17912.753571428573,17807.65,62.53,26.07,862.44,0.356,0.00143,-25.47,19.8,2
2022-04-07,SELL_CE,17722.807142857142,17639.55,39.16,58.74,-349.59,0.331,0.00201,-33.8,19.6,1
2022-04-07,SELL_CE,17722.807142857142,17639.55,39.16,58.74,-349.59,0.331,0.00201,-33.8,19.6,1
2022-04-12,SELL_CE,17680.3,17530.3,65.39,33.23,755.01,0.328,0.00117,-19.51,19.3,3
2022-04-18,SELL_CE,17373.65,17173.65,61.87,31.6,707.95,0.294,0.00102,-15.43,18.8,4
2022-04-19,SELL_CE,17108.65,16958.65,53.91,80.87,-722.63,0.308,0.00128,-17.07,17.9,3
2022-04-19,SELL_CE,17108.65,16958.65,53.91,80.87,-722.63,0.308,0.00128,-17.07,17.9,3
2022-04-21,SELL_PE,17310.27714285714,17392.6,32.73,49.1,-297.23,-0.304,0.00208,-30.35,18.5,1
2022-04-21,SELL_PE,17310.27714285714,17392.6,32.73,49.1,-297.23,-0.304,0.00208,-30.35,18.5,1
2022-04-25,SELL_CE,17153.95,16953.95,66.76,34.87,748.03,0.302,0.00099,-16.24,19.8,4
2022-04-26,SELL_PE,17050.8,17200.8,64.15,33.39,720.07,-0.307,0.00109,-19.87,20.7,3
2022-04-27,SELL_CE,17138.4,17038.4,65.6,28.13,887.76,0.365,0.00142,-25.99,21.0,2
2022-04-28,SELL_PE,17165.05,17245.05,42.65,63.97,-377.96,-0.332,0.00187,-36.21,21.5,1
2022-04-28,SELL_PE,17165.05,17245.05,42.65,63.97,-377.96,-0.332,0.00187,-36.21,21.5,1
2022-05-04,SELL_CE,16781.510714285712,16677.6,68.06,102.09,-584.92,0.365,0.00136,-26.93,22.3,2
2022-05-04,SELL_CE,16781.510714285712,16677.6,68.06,102.09,-584.92,0.365,0.00136,-26.93,22.3,2
2022-05-11,SELL_CE,16281.966071428571,16167.1,49.12,73.67,-430.64,0.324,0.00153,-21.96,19.6,2
2022-05-11,SELL_CE,16281.966071428571,16167.1,49.12,73.67,-430.64,0.324,0.00153,-21.96,19.6,2
2022-05-12,SELL_CE,15903.27,15808.0,32.45,48.68,-294.96,0.299,0.00201,-30.77,20.9,1
2022-05-12,SELL_CE,15903.27,15808.0,32.45,48.68,-294.96,0.299,0.00201,-30.77,20.9,1
2022-05-17,SELL_PE,16074.759999999998,16259.3,64.02,96.03,-849.26,-0.287,0.00097,-20.88,23.9,3
2022-05-17,SELL_PE,16074.759999999998,16259.3,64.02,96.03,-849.26,-0.287,0.00097,-20.88,23.9,3
2022-05-18,SELL_PE,16100.483928571428,16240.3,54.36,20.73,791.94,-0.3,0.00123,-25.48,23.6,2
2022-05-19,SELL_CE,15922.291428571429,15809.4,38.99,58.49,-348.22,0.3,0.00168,-36.71,24.9,1
2022-05-19,SELL_CE,15922.291428571429,15809.4,38.99,58.49,-348.22,0.3,0.00168,-36.71,24.9,1
