date,symbol,type,strike,entry,exit,spot_entry,pcr,vwap,gross_pnl,costs,net_pnl,version,tolerance,has_oi,position_scale
2025-05-30,SENSEX,BUY_PE,81500,531.9715183039007,604.3183492693385,81609.624296595,0.6473214285714286,81609.624296595,1378.76,84.44,1294.32,V1,,,
2025-06-02,SENSEX,BUY_PE,81400,547.4802357126391,775.1923517220306,81472.2187674314,0.2961672473867596,81472.2187674314,4474.88,85.52,4389.36,V1,,,
2025-06-03,SENSEX,BUY_PE,80700,355.83657226735886,523.7805689995971,81252.21349336457,0.29094076655052264,81252.21349336457,3306.1,72.11,3233.99,V1,,,
2025-06-04,SENSEX,BUY_PE,81000,509.2970318066291,584.5572079213786,81168.8843362403,0.2430858806404658,81168.8843362403,1439.57,82.85,1356.72,V1,,,
2025-06-11,SENSEX,BUY_CE,82500,241.56018308035345,431.7631366095076,82189.41286744314,1.1165413533834587,82189.41286744314,3763.66,64.11,3699.55,V1,,,
2025-06-16,SENSEX,BUY_PE,81800,247.0061715315278,438.5522059612963,82002.86099867724,0.549079754601227,82002.86099867724,3789.79,64.49,3725.3,V1,,,
2025-06-24,SENSEX,BUY_PE,82100,272.08850049040484,317.6369952535141,82156.74758343895,0.7647058823529411,82156.74758343895,875.59,66.25,809.34,V1,,,
2025-07-08,SENSEX,BUY_CE,83700,256.7504266071628,355.7981069752976,83475.72446864688,1.688118811881188,83475.72446864688,1944.2,65.17,1879.03,V1,,,
2025-07-09,SENSEX,BUY_CE,83500,355.5985005647308,381.692850537071,83485.52125087353,1.5,83485.52125087353,477.65,72.09,405.56,V1,,,
2025-07-15,SENSEX,BUY_PE,82600,230.05299660498713,433.4200620833384,82729.05763580248,0.3469387755102041,82729.05763580248,4027.53,63.3,3964.23,V1,,,
2025-07-17,SENSEX,BUY_PE,82300,223.09415665850247,300.98770824825107,82454.98377495463,0.4820936639118457,82454.98377495463,1526.43,62.82,1463.61,V1,,,
2025-07-18,SENSEX,BUY_PE,81800,82.10663703661339,184.19955590249927,82325.7486337761,0.4654255319148936,82325.7486337761,2025.88,52.95,1972.93,V1,,,
2025-07-21,SENSEX,BUY_PE,82200,234.92966506702942,455.3830439102445,82246.38120908484,0.4971590909090909,82246.38120908484,4367.65,63.65,4304.0,V1,,,
2025-07-24,SENSEX,BUY_PE,82200,202.06341944704036,223.23855194508127,82231.40410148977,0.6195121951219512,82231.40410148977,397.98,61.34,336.64,V1,,,
2025-07-25,SENSEX,BUY_PE,81500,33.26990872594433,88.72400063893919,82188.69230559345,0.5497835497835498,82188.69230559345,1101.76,49.53,1052.23,V1,,,
2025-07-30,SENSEX,BUY_PE,81500,186.78391014478257,241.43680997361565,81618.4062894376,0.7697594501718213,81618.4062894376,1067.36,60.27,1007.09,V1,,,
2025-07-31,SENSEX,BUY_PE,81200,192.684783640565,391.8659673016953,81305.33948081265,0.33884297520661155,81305.33948081265,3948.55,60.69,3887.86,V1,,,
2025-08-01,SENSEX,BUY_PE,80600,79.84187718060275,182.5366333159509,81086.03857142857,0.9865470852017937,81086.03857142857,2038.15,52.79,1985.36,V1,,,
2025-08-04,SENSEX,BUY_PE,81000,233.8646309820615,450.8893262443121,81047.48321561338,0.8148148148148148,81047.48321561338,4299.41,63.57,4235.84,V1,,,
2025-08-06,SENSEX,BUY_PE,80500,113.11828412019531,200.89647461941368,80868.33075247525,0.5975609756097561,80868.33075247525,1736.72,55.12,1681.6,V1,,,
2025-08-11,SENSEX,BUY_CE,80600,213.4344183070789,311.95429503143265,80356.39344249513,1.2030456852791878,80356.39344249513,1938.87,62.14,1876.73,V1,,,
2025-08-13,SENSEX,BUY_CE,80500,244.42537254916533,336.7204143963182,80327.53573086688,1.1881443298969072,80327.53573086688,1811.03,64.31,1746.72,V1,,,
2025-08-14,SENSEX,BUY_CE,80600,200.07785372853323,304.8130010143051,80322.43772186147,1.7432835820895523,80322.43772186147,2064.41,61.21,2003.2,V1,,,
2025-08-22,SENSEX,BUY_PE,81300,162.10499975953644,264.97412836424905,81633.34371158392,0.5546448087431693,81633.34371158392,2031.76,58.55,1973.21,V1,,,
2025-08-25,SENSEX,BUY_PE,81600,228.78684176195384,262.3369166846039,81716.88507834758,0.5623268698060941,81716.88507834758,641.53,63.22,578.32,V1,,,
2025-09-02,SENSEX,BUY_PE,80200,192.3557979689358,298.92814529537793,80461.32569090909,0.38480392156862747,80461.32569090909,2101.97,60.66,2041.31,V1,,,
2025-09-19,SENSEX,BUY_CE,82600,270.2017494173924,320.62444640987997,82521.80008680555,1.350597609561753,82521.80008680555,973.0,66.11,906.89,V1,,,
2025-09-22,SENSEX,BUY_PE,82200,108.6393623147087,237.3135706520878,82596.62837398374,0.6551724137931034,82596.62837398374,2552.73,54.8,2497.92,V1,,,
2025-09-25,SENSEX,BUY_PE,81200,23.974517185168224,66.88761783180166,81957.62679617117,0.21149897330595482,81957.62679617117,852.81,48.88,803.93,V1,,,
2025-10-09,SENSEX,BUY_CE,82200,119.34014137099803,234.79610132210672,81765.77703257474,3.8552631578947367,81765.77703257474,2287.87,55.55,2232.32,V1,,,
2025-10-10,SENSEX,BUY_CE,82500,109.28386123746895,238.78668619777443,82016.28158199645,3.914473684210526,82016.28158199645,2569.17,54.85,2514.32,V1,,,
2025-10-13,SENSEX,BUY_CE,82300,199.5732549987806,294.0988632360867,82095.81556,3.9210526315789473,82095.81556,1860.89,61.17,1799.72,V1,,,
2025-10-15,SENSEX,BUY_CE,82600,139.901833250442,295.62787851628264,82221.89598649301,1.6510791366906474,82221.89598649301,3088.39,56.99,3031.4,V1,,,
2025-10-16,SENSEX,BUY_CE,83500,60.60810789948846,137.38402244352227,82682.71865393361,4.484126984126984,82682.71865393361,1523.64,51.44,1472.2,V1,,,
2025-10-30,SENSEX,BUY_PE,84400,157.8454185106093,227.8454252776628,84603.28963800905,0.9796437659033079,84603.28963800905,1376.86,58.25,1318.61,V1,,,
2025-11-06,SENSEX,BUY_PE,83300,56.37142422248144,134.79404070174007,83948.40707591934,0.4027027027027027,83948.40707591934,1556.98,51.15,1505.84,V1,,,
2025-11-07,SENSEX,BUY_PE,83200,114.42082281625699,250.58902490695,83567.93026482442,0.023679417122040074,83567.93026482442,2701.46,55.21,2646.25,V1,,,
2025-11-11,SENSEX,BUY_CE,83900,116.20045781057706,232.6980256207391,83452.74811250581,1.062043795620438,83452.74811250581,2309.02,55.33,2253.68,V1,,,
2025-11-14,SENSEX,BUY_CE,84600,106.72170144598567,241.00634002639205,84137.66125173852,2.0859375,84137.66125173852,2664.83,54.67,2610.16,V1,,,
2025-11-17,SENSEX,BUY_CE,85000,52.75377539281544,135.50660453480825,84350.60720094561,1.80859375,84350.60720094561,1643.76,50.89,1592.87,V1,,,
2025-11-18,SENSEX,BUY_CE,84700,217.61283629865648,252.38959822995918,84598.18622359607,1.75390625,84598.18622359607,667.34,62.43,604.9,V1,,,
2025-11-21,SENSEX,BUY_CE,85200,282.14182150686247,299.19586405991805,85199.6988483965,4.906542056074766,85199.6988483965,306.2,66.95,239.25,V1,,,
2025-11-25,SENSEX,BUY_PE,84600,39.55217614187313,104.35519501809695,85263.53939873418,0.9623188405797102,85263.53939873418,1287.43,49.97,1237.46,V1,,,
2025-11-26,SENSEX,BUY_CE,85600,180.49421080842876,294.4050026773931,85296.22254527656,1.1066666666666667,85296.22254527656,2249.72,59.83,2189.89,V1,,,
2025-11-27,SENSEX,BUY_CE,85700,149.2807583572103,313.34638454287494,85315.01458612976,1.27,85315.01458612976,3253.55,57.65,3195.91,V1,,,
2025-12-02,SENSEX,BUY_PE,85100,91.75827730581659,187.75343614362902,85555.78712392315,0.37398373983739835,85555.78712392315,1903.13,53.62,1849.51,V1,,,
2025-12-03,SENSEX,BUY_PE,85100,100.38019561693363,232.3820723569064,85471.28809523811,0.3780821917808219,85471.28809523811,2620.07,54.23,2565.85,V1,,,
2025-12-04,SENSEX,BUY_PE,85300,224.36575258897938,248.04519157196032,85316.84995238096,1.8552875695732837e-05,85316.84995238096,445.24,62.91,382.34,V1,,,
2025-12-08,SENSEX,BUY_PE,85100,201.65371017923462,249.0054051133814,85219.85063651591,0.8138801261829653,85219.85063651591,919.99,61.32,858.68,V1,,,
2025-12-09,SENSEX,BUY_PE,84700,103.349145494205,228.2823118159323,85141.72612179487,0.7610619469026548,85141.72612179487,2478.77,54.43,2424.33,V1,,,
2025-12-10,SENSEX,BUY_PE,84400,50.03565131558025,122.80204713751962,85079.770086741,0.7049180327868853,85079.770086741,1444.96,50.7,1394.26,V1,,,
2025-12-11,SENSEX,BUY_PE,84800,217.93769597593928,433.5021970028003,84887.35598323662,0.9214285714285714,84887.35598323662,4272.2,62.46,4209.75,V1,,,
2025-12-26,SENSEX,BUY_PE,85000,112.56448555616953,185.98414580488574,85295.1900199005,0.48135593220338985,85295.1900199005,1450.48,55.08,1395.4,V1,,,
2025-12-29,SENSEX,BUY_PE,84700,99.26203133152376,190.42450746999808,85040.80506141465,0.7357512953367875,85040.80506141465,1805.87,54.15,1751.72,V1,,,
